Diretório,Arquivo,Município,Zona Eleitoral,Local de Votação,Seção Eleitoral,Versão da aplicação,Turno da UE,Identificação do Modelo de Urna,Fase da UE,Serial de votação da MV
2022_2t_ES,o00407-5601400080011.logjez,56014,0008,1015,0011,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,800BDABE
2022_2t_ES,o00407-5601400080012.logjez,56014,0008,1015,0012,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,AB091C0D
2022_2t_ES,o00407-5601400080013.logjez,56014,0008,1015,0013,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,EA4FE4FE
2022_2t_ES,o00407-5601400080014.logjez,56014,0008,1015,0014,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,081D05A3
2022_2t_ES,o00407-5601400080015.logjez,56014,0008,1015,0015,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,BCCADB9A
2022_2t_ES,o00407-5601400080016.logjez,56014,0008,1023,0016,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,6835C95A
2022_2t_ES,o00407-5601400080017.logjez,56014,0008,1023,0017,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,DD1DD0EC
2022_2t_ES,o00407-5601400080018.logjez,56014,0008,1023,0018,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,A4CAD2C5
2022_2t_ES,o00407-5601400080019.logjez,56014,0008,1023,0019,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,F7744C6F
2022_2t_ES,o00407-5601400080020.logjez,56014,0008,1023,0020,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,5378D8A8
2022_2t_ES,o00407-5601400080021.logjez,56014,0008,1023,0021,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,4D81F651
2022_2t_ES,o00407-5601400080022.logjez,56014,0008,0000,0000,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,70ABC8A3
2022_2t_ES,o00407-5601400080023.logjez,56014,0008,1589,0023,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,0A8B4411
2022_2t_ES,o00407-5601400080024.logjez,56014,0008,1325,0024,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,E719A570
2022_2t_ES,o00407-5601400080026.logjez,56014,0008,1325,0026,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,5FEB8AEF
2022_2t_ES,o00407-5601400080027.logjez,56014,0008,1589,0027,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,B459679E
2022_2t_ES,o00407-5601400080028.logjez,56014,0008,1058,0028,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,3301FBF1
2022_2t_ES,o00407-5601400080029.logjez,56014,0008,1058,0029,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,AA88228D
2022_2t_ES,o00407-5601400080030.logjez,56014,0008,1066,0030,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,42EBCDE2
2022_2t_ES,o00407-5601400080031.logjez,56014,0008,1066,0031,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,21CF904D
2022_2t_ES,o00407-5601400080032.logjez,56014,0008,1066,0032,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,3A66F315
2022_2t_ES,o00407-5601400080033.logjez,56014,0008,1066,0033,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,E1D75DD5
2022_2t_ES,o00407-5601400080034.logjez,56014,0008,1074,0034,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,C2ACB42B
2022_2t_ES,o00407-5601400080035.logjez,56014,0008,1074,0035,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,79407314
2022_2t_ES,o00407-5601400080036.logjez,56014,0008,1074,0036,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,9E9CEB33
2022_2t_ES,o00407-5601400080037.logjez,56014,0008,1074,0037,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,320CA8FC
2022_2t_ES,o00407-5601400080038.logjez,56014,0008,1082,0038,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,978F2DF5
2022_2t_ES,o00407-5601400080039.logjez,56014,0008,1082,0039,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,4487D5C5
2022_2t_ES,o00407-5601400080041.logjez,56014,0008,1082,0041,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,2194A8E5
2022_2t_ES,o00407-5601400080057.logjez,56014,0008,1180,0057,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,D39E64B4
2022_2t_ES,o00407-5601400080058.logjez,56014,0008,1180,0058,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,8EFA0119
2022_2t_ES,o00407-5601400080059.logjez,56014,0008,1180,0059,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,A1C73BB5
2022_2t_ES,o00407-5601400080064.logjez,56014,0008,1236,0064,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,DBBBEAA1
2022_2t_ES,o00407-5601400080065.logjez,56014,0008,1236,0065,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,7733F3E1
2022_2t_ES,o00407-5601400080066.logjez,56014,0008,1236,0066,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,B8D29744
2022_2t_ES,o00407-5601400080067.logjez,56014,0008,1236,0067,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,6944DE9F
2022_2t_ES,o00407-5601400080068.logjez,56014,0008,1457,0068,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,5C6B455C
2022_2t_ES,o00407-5601400080090.logjez,56014,0008,1066,0090,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,AFB4E11B
2022_2t_ES,o00407-5601400080092.logjez,56014,0008,1457,0092,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,C198E13B
2022_2t_ES,o00407-5601400080095.logjez,56014,0008,1325,0095,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,1A67F686
2022_2t_ES,o00407-5601400080100.logjez,56014,0008,1589,0100,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,38C59F34
2022_2t_ES,o00407-5601400080101.logjez,56014,0008,1325,0101,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,64E9B618
2022_2t_ES,o00407-5601400080105.logjez,56014,0008,1350,0105,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,A036BFF9
2022_2t_ES,o00407-5601400080106.logjez,56014,0008,1368,0106,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,42665E73
2022_2t_ES,o00407-5601400080107.logjez,56014,0008,1350,0107,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,ADE4D2C0
2022_2t_ES,o00407-5601400080109.logjez,56014,0008,1074,0109,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,CE50282A
2022_2t_ES,o00407-5601400080110.logjez,56014,0008,1082,0110,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,A5539424
2022_2t_ES,o00407-5601400080115.logjez,56014,0008,1015,0115,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,349CCE6C
2022_2t_ES,o00407-5601400080117.logjez,56014,0008,1015,0117,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,9D3B5E1A
2022_2t_ES,o00407-5601400080121.logjez,56014,0008,1015,0121,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,FDF455DC
2022_2t_ES,o00407-5601400080122.logjez,56014,0008,1015,0122,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,CF0A0BA7
2022_2t_ES,o00407-5601400080126.logjez,56014,0008,1015,0126,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,A5CFBF5F
2022_2t_ES,o00407-5601400080127.logjez,56014,0008,1589,0127,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,06A4826B
2022_2t_ES,o00407-5601400080128.logjez,56014,0008,1236,0128,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,55C52826
2022_2t_ES,o00407-5601400080130.logjez,56014,0008,1350,0130,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,A21D78AA
2022_2t_ES,o00407-5601400080135.logjez,56014,0008,1023,0135,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,0869B925
2022_2t_ES,o00407-5601400080136.logjez,56014,0008,1589,0136,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,3F97E9F1
2022_2t_ES,o00407-5601400080137.logjez,56014,0008,1554,0137,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,11A09171
